No.,Bit Address,Bit Address,Trigger Condition(0:OFF; 1:ON),Message,Hive,MessageHive,ErrorCode,Severity
110,[PLC1]GGB00004191D,MB3711D,1,工序1-1-13：上料治具解锁前后前动作报警,TRUE,Unlock the action of loading fixture alarm,C02PNSP-14-03,critical
113,[PLC1]GGB000041920,MB37120,1,工序1-2-0：上料骨架浮起检测后原点报警,TRUE,The frame floats the detection origin alarm,C01PNSP-15-03,critical
114,[PLC1]GGB000041921,MB37121,1,工序1-2-1：上料骨架浮起检测前动作报警,TRUE,The frame floats the detection action alarm,C02PNSP-16-03,critical
115,[PLC1]GGB000041922,MB37122,1,工序1-2-2：输送带上料定位锁下原点报警,TRUE,Feeding fixed lock origin alarm,C01PNSP-17-03,critical
116,[PLC1]GGB000041923,MB37123,1,工序1-2-3：输送带上料定位锁上动作报警,TRUE,Feeding fixed lock action alarm,C02PNSP-18-03,critical
117,[PLC1]GGB000041924,MB37124,1,工序1-2-4：上料满盘料仓缺料报警,TRUE,Alarm for lack of material in full silo,S02SSSE-99-06,critical
118,[PLC1]GGB000041925,MB37125,1,工序1-2-5：上料空盘料仓满料报警,TRUE,Empty tray silo shortage alarm,S02SSSE-100-06,critical
119,[PLC1]GGB000041926,MB37126,1,工序1-2-6:上料骨架浮起检测报警,TRUE,Frame floating alarm,S02SSSE-101-06,critical
120,[PLC1]GGB000041927,MB37127,1,工序1-2-7：上料相机连续NG报警,TRUE,Load Camera continuous NG alarm,V04VSOO-09-15,critical
121,[PLC1]GGB000041928,MB37128,1,工序1-2-8：上料安全光栅暂停信号,TRUE,Feeding safety grating pause signal,F02SCSE-24-15,critical
122,[PLC1]GGB000041929,MB37129,1,工序1-2-9：上料料盘缺料提醒,TRUE,Reminder of material shortage,S02SSSE-102-06,critical
123,[PLC1]GGB00004192A,MB3712A,1,工序1-2-10：上料空盘满料提醒,TRUE,Reminder of empty tray full,S02SSSE-103-06,critical
124,[PLC1]GGB00004192B,MB3712B,1,工序1-2-11：,TRUE,,,critical
125,[PLC1]GGB00004192C,MB3712C,1,工序1-2-12：,TRUE,,,critical
126,[PLC1]GGB00004192D,MB3712D,1,工序1-2-13：,TRUE,,,critical
129,[PLC1]GGB000041930,MB37130,1,工序1-3-0：上料电缸闭合超时报警,TRUE,Robot electric cylinder closing timeout alarm,M03SSM*-01-03,critical
130,[PLC1]GGB000041931,MB37131,1,工序1-3-1：上料电缸张开超时报警,TRUE,Robot electric cylinder open overtime alarm,M03SSM*-02-03,critical
131,[PLC1]GGB000041932,MB37132,1,工序1-3-2：上料搬运料盘未取下报警,TRUE,alarm when the feeding tray is not removed,S02SSSE-104-03,critical
132,[PLC1]GGB000041933,MB37133,1,工序1-3-3：上料搬运料盘未回送完成报警,TRUE,Tray has not returned to complete the alarm,S02SSSE-105-03,critical
133,[PLC1]GGB000041934,MB37134,1,工序1-3-4：,TRUE,,,critical
134,[PLC1]GGB000041935,MB37135,1,工序1-3-5：,TRUE,,,critical
135,[PLC1]GGB000041936,MB37136,1,工序1-3-6：,TRUE,,,critical
136,[PLC1]GGB000041937,MB37137,1,工序1-3-7：,TRUE,,,critical
137,[PLC1]GGB000041938,MB37138,1,工序1-3-8：,TRUE,,,critical
138,[PLC1]GGB000041939,MB37139,1,工序1-3-9：,TRUE,,,critical
139,[PLC1]GGB00004193A,MB3713A,1,工序1-3-10：,TRUE,,,critical
140,[PLC1]GGB00004193B,MB3713B,1,工序1-3-11：,TRUE,,,critical
141,[PLC1]GGB00004193C,MB3713C,1,工序1-3-12：,TRUE,,,critical
142,[PLC1]GGB00004193D,MB3713D,1,工序1-3-13：,TRUE,,,critical
145,[PLC1]GGB000041940,MB37140,1,工序1-4-0：1#机器人Error,TRUE,1# Robot Error,M01RBRD-02-03,critical
146,[PLC1]GGB000041941,MB37141,1,工序1-4-1：1#机器人EstopOn,TRUE,1# Robot EstopOn,M01RBRD-03-03,critical
147,[PLC1]GGB000041942,MB37142,1,工序1-4-2：1#机器人SError（严重报警）,TRUE,1# Robot SError (serious alarm),M01RBRD-04-03,critical
148,[PLC1]GGB000041943,MB37143,1,工序1-4-3：1#机器人Warning（警告）,TRUE,1# Robot Warning (Warning),M01RBRD-05-03,critical
149,[PLC1]GGB000041944,MB37144,1,工序1-4-4：上料电缸ALARM,TRUE,feeding electric cylinder ALARM,M06SSM*-17-03,critical
150,[PLC1]GGB000041945,MB37145,1,工序1-4-5：1#架台气压检测报警,TRUE,1# rack pressure detection alarm,F99PSSR-14-03,critical
151,[PLC1]GGB000041946,MB37146,1,工序1-4-6：安全继电器报警,TRUE,Safety relay alarm,F99SSSE-01-03,critical
152,[PLC1]GGB000041947,MB37147,1,工序1-4-7：1#架台前左安全门报警,TRUE,1#The front left safety door alarms,F99PSSR-15-03,critical
153,[PLC1]GGB000041948,MB37148,1,工序1-4-8：1#架台前右安全门报警,TRUE,1#The front right safety door alarms,F99PSSR-16-03,critical
